cruise,longitude,latitude,depth,temp,sal,oxy,phosphate,nitrate,silicate,barium
GA02,322.5423,-32.0908,4085,0.6046,34.694599,214.100006,2.209,32.02,116.580002,98.351685
GA02,322.5423,-32.0908,4121,0.5177,34.688599,214.699997,2.227,32.279999,119.190002,101.866409
GA02,324.20789,-29.0593,10,24.157101,35.698799,210.100006,0.015,0,0.26,38.122612
GA02,324.20789,-29.0593,25,24.0581,35.6894,211.5,0.012,0,0.27,38.897289
GA02,324.20789,-29.0593,48,21.3358,35.803699,238.800003,0.006,0,0.39,37.94397
GA02,324.20789,-29.0593,76,18.5466,35.891899,238.100006,0.023,0,0.51,39.300888
GA02,324.20789,-29.0593,107,17.2295,35.840801,231.5,0.07,0,0.61,39.798187
GA02,324.20789,-29.0593,151,16.1029,35.721802,215,0.288,3.37,1.23,41.219044
GA02,324.20789,-29.0593,203,15.3382,35.628899,217.300003,0.374,4.54,1.54,41.858429
GA02,324.20789,-29.0593,252,14.6785,35.541401,215.800003,0.482,6.13,1.91,39.977573
GA02,324.20789,-29.0593,302,14.1763,35.472,213.5,0.562,7.34,2.16,45.318214
GA02,324.20789,-29.0593,402,12.6571,35.216202,211.5,0.798,10.99,3.25,45.467407
GA02,324.20789,-29.0593,500,10.1963,34.840401,205.800003,1.168,16.92,5.89,44.998524
GA02,324.20789,-29.0593,751,5.5747,34.338902,220.600006,1.825,26.93,15.95,57.01897
GA02,324.20789,-29.0593,1003,3.6415,34.323399,209.800003,2.121,31.67,34.470001,64.734222
GA02,324.20789,-29.0593,1296,3.0415,34.536201,186,2.184,32.43,52.860001,73.024918
GA02,324.20789,-29.0593,1501,2.9139,34.654202,191.600006,2.047,30.4,53.779999,72.769165
GA02,324.20789,-29.0593,1750,2.8558,34.769199,208.300003,1.823,27.16,48.84,70.431854
GA02,324.20789,-29.0593,2001,2.8993,34.844398,223.899994,1.636,24.52,42.040001,66.693253
GA02,324.20789,-29.0593,2502,2.8922,34.9132,242.5,1.421,21.43,32.849998,62.965252
GA02,324.20789,-29.0593,2752,2.7832,34.915798,244.800003,1.404,21.040001,33.240002,64.845398
GA02,324.20789,-29.0593,2999,2.6318,34.908501,246.100006,1.424,21.17,35.970001,65.451752
GA02,324.20789,-29.0593,3251,2.4025,34.889702,245.199997,1.47,21.99,42.529999,69.713776
GA02,324.20789,-29.0593,3502,1.9683,34.847599,239.600006,1.61,24.030001,58.080002,79.369041
GA02,324.20789,-29.0593,3786,1.4278,34.787601,229.800003,1.842,27.49,81.629997,87.929703
GA02,324.20789,-29.0593,3835,1.3951,34.7831,229.100006,1.861,27.549999,82.949997,85.64212
GA02,325.7197,-26.0894,10,25.9076,36.5252,199.800003,0.026,0,0.28,40.899353
GA02,325.7197,-26.0894,25,25.9086,36.524101,201.5,0.02,0,0.3,36.288975
GA02,325.7197,-26.0894,52,22.8783,36.726501,228.699997,0.022,0,0.57,41.050747
GA02,325.7197,-26.0894,73,21.816601,36.691601,217.5,0.052,0,0.71,38.812004
GA02,325.7197,-26.0894,100,21.347099,36.6525,211.399994,0.068,0,0.67,39.51561
GA02,325.7197,-26.0894,150,19.974199,36.368301,206.300003,0.123,0.57,0.78,41.072067
GA02,325.7197,-26.0894,201,17.3519,35.846802,205,0.27,2.19,1.19,38.790684
GA02,325.7197,-26.0894,250,16.030199,35.621201,202.699997,0.404,4.3,1.65,40.238655
GA02,325.7197,-26.0894,301,15.0496,35.494701,204.199997,0.516,6.24,2,41.830013
GA02,325.7197,-26.0894,400,12.8948,35.210602,207,0.774,10.45,3.16,41.247463
GA02,325.7197,-26.0894,502,10.6273,34.884201,199.899994,1.142,16.360001,5.88,43.779884
